Date,BlockNo,ClosingPrice,PriceOneDay,PriceChangePercentOneDay,PriceChangeDollarOneDay,PriceSevenDay,PriceChangePercentSevenDay,PriceChangeDollarSevenDay,PriceThirtyDay,PriceChangePercentThirtyDay,PriceChangeDollarThirtyDay,BlackmailCount,BlackmailTotalBitcoin,BlackmailTotalDollar,CyberSecurityServiceCount,CyberSecurityServiceTotalBitcoin,CyberSecurityServiceTotalDollar,DarknetMarketCount,DarknetMarketTotalBitcoin,DarknetMarketTotalDollar,CentralizedExchangeCount,CentralizedExchangeTotalBitcoin,CentralizedExchangeTotalDollar,P2PFinancialInfrastructureServiceCount,P2PFinancialInfrastructureServiceTotalBitcoin,P2PFinancialInfrastructureServiceTotalDollar,P2PFinancialServiceCount,P2PFinancialServiceTotalBitcoin,P2PFinancialServiceTotalDollar,GamblingCount,GamblingTotalBitcoin,GamblingTotalDollar,GovernmentCriminalBlacklistCount,GovernmentCriminalBlacklistTotalBitcoin,GovernmentCriminalBlacklistTotalDollar,MoneyLaunderingCount,MoneyLaunderingTotalBitcoin,MoneyLaunderingTotalDollar,PonziSchemeCount,PonziSchemeTotalBitcoin,PonziSchemeTotalDollar,MiningPoolCount,MiningPoolTotalBitcoin,MiningPoolTotalDollar,TumblerCount,TumblerTotalBitcoin,TumblerTotalDollar,IndividualWalletCount,IndividualWalletTotalBitcoin,IndividualWalletTotalDollar,UnknownServiceCount,UnknownServiceTotalBitcoin,UnknownServiceTotalDollar,UnknownCount,UnknownTotalBitcoin,UnknownTotalDollar
1/9/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2009,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2009,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,179,0
1/13/2009,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2009,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,0
1/15/2009,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,500,0
1/16/2009,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,200,0
1/17/2009,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2009,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,0
1/19/2009,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,775,0
1/20/2009,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,400,0
1/21/2009,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0
1/22/2009,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,500,0
1/23/2009,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,450,0
